Database
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4
SS221,1.5.1.0,richard,,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---
Global User Script

Actors
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,NodeColor,en
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,Text,Localization
1,,[],,[],我,[],,True,,me
2,,[],,[],瑞奇,[],瑞奇党的头目,FALSE,Gray,Ruiki
3,,[],,[],托奇,[],肯托阵营负责与奎卡交易的 大使,False,{{omit}},Quoki
4,,[],,[],地下列车,[],年久失修的列车,FALSE,Gray,The underground train
5,,[],,[],地底爬虫,[],列车地下城生物.,FALSE,Gray,Underground crawler
6,,[],,[],所多提斯士兵,[],"洛斯据点,瑞奇希望占领此地获得高信号传输",FALSE,Gray,Soldier of Sodtyx
7,,[],,[],所多提斯士兵队长,[],"洛斯据点,瑞奇希望占领此地获得高信号传输",False,Gray,Captain of the soldiers of Sodtyx
8,,[],,[],特律,[],"Guy who is union of free ranger,came to qika save them.",FALSE,Gray,Detroit
9,,[],,[],所多提斯射手,[],屠杀奎卡族人的士兵,False,Gray,The Archer of Sodtyx
10,,[],,[],黑色史密斯,[],"奎卡营地的铁匠,用于制作强化武器以及装备",FALSE,Gray,Black Smith
11,,[],,[],莱曼,[],,FALSE,,lehmann
12,,[],,[],李,[],"Chap04 begin und first meet , bar manager",FALSE,,li
13,,[],,[],平克,[],,FALSE,Gray,Pink
14,,[],,[],弗伊,[],,FALSE,Gray,faye
15,,[],,[],所多提斯船长,[],交接船长,FALSE,Gray,Captain Sodtyx
16,,[],,[],莱尼,[],,FALSE,Gray,lenny
19,,[],,[],信号放大器,[],,FALSE,Gray,Signal amplifier
20,,[],,[],所多提斯军官,[],,FALSE,,Officer Sodtyx
21,,[],,[],奎卡地下列车,[],车站中有一辆年久失修的列车被藤曼包裹着.,FALSE,,The Qika Underground
22,,[],,[],爬虫网,[],爬虫母体衍生出来的网企图阻拦列车行驶的路线,FALSE,,The crawler network
23,,[],,[],滴滴露,[],,FALSE,,Dew drops
24,,[],,[],莱曼,[],路德亚看门人,FALSE,Gray,lehmann
25,,[],,[],托,[],,FALSE,Gray,tora
26,,[],,[],南,[],,FALSE,Gray,south
27,,[],,[],金,[],,FALSE,,gold
28,,[],,[],方向,[],,FALSE,,The direction of
29,,[],,[],古代武器控制装置,[],,FALSE,Gray,Ancient weapon control devices
30,,[],,[],莱德尼列车,[],莱德尼用来逃脱的工具,FALSE,Gray,Ladney train
31,,[],,[],生命通道,[],,FALSE,Gray,Life channel
32,,[],,[],沃利达酒馆门,[],,FALSE,,The door of the Wolvda Tavern
33,,[],,[],海轮党水手,[],,FALSE,,A seagoing crew
34,,[],,[],海轮党参谋,[],,FALSE,,Consigliere of the seagoing ship
35,,[],,[],海轮党首领,[],,FALSE,,The captain of the seagoing party
36,,[],,[],凯,[],,FALSE,Gray,kay
37,,[],,[],沃里达酒馆大门,[],,FALSE,Gray,The door of the Volida Tavern
38,,[],,[],生命通道,[],,FALSE,Gray,Life channel
39,,[],,[],缇娜,[],,FALSE,Gray,Tina
40,,[],,[],海轮党海盗,[],,FALSE,,A seagoing pirate
41,,[],,[],海轮党船长,[],,FALSE,,Captain of the seagoing ship
42,,[],,[],老瘸子先知,[],,FALSE,Gray,The old lame prophet
43,,[],,[],灵视老瘸子,[],,FALSE,Gray,The old gimp
44,,[],,[],武装代理人员,[],,FALSE,,Armed agent
45,,[],,[],武装挖掘人员,[],,FALSE,,Armed excavator
46,,[],,[],戈林核心,[],,FALSE,,Goering core
47,,[],,[],沃克,[],,FALSE,,walker
48,,[],,[],失落海盗,[],,FALSE,,Lost the pirates
49,,[],,[],矿石蜘蛛,[],,FALSE,,Ore spider
51,,[],,[],海底管理密令,[],Got Safe Code from codex (kill),FALSE,,Seabed Management Order
52,,[],,[],海底核心终端,[],OceanTerminal,FALSE,Gray,Subsea core terminal
53,,[],,[],暗街商人,[],,FALSE,Gray,Dark street merchants
54,,[],,[],缇娜的信条,[],,FALSE,Gray,Tina's creed
55,,[],,[],帕热,[],,FALSE,,Palmer hot
56,,[],,[],海底终端,[],,FALSE,,The bottom of the sea terminal
57,,[],,[],Chap07,[],,FALSE,,Chap07
58,,[],,[],飞船操作手册,[],Chap07 tina und me came to spaceship und found eine book und dialogue with it,FALSE,,Spacecraft operation manual
59,,[],,[],刀锋,[],,FALSE,,The blade
60,,[],,[],Chap08,[],,FALSE,,Chap08
61,,[],,[],伏尔图斯元素,[],,FALSE,Gray,The Voltus element
