Database
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4
THDN,1,RichardLynch,THDN,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---
Global User Script

Actors
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,NodeColor,Display Name en
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,Text,Text
1,,[],,[],Player,[],,True,Blue,Player
2,,[],,[],Zino,[],"the first guy who save at sodtyxjails2 , help him esacpe from the jails needs key  ",FALSE,Gray,Zino
3,,[],,[],Paven,[],,False,Gray,Paven
4,,[],,[],Terminal,[],The Terminal for player can connect with ludya base,FALSE,Gray,Terminal
5,,[],,[],Tunnel,[],Trigger to Matches Module,FALSE,Gray,Tunnel
6,,[],,[],Shrine,[],,FALSE,Gray,Shrine
7,,[],,[],SodtyxGuard,[],,FALSE,Gray,SodtyxGuard
8,,[],,[],KuQuo,[],,FALSE,,KuQuo
9,,[],,[],SodtyxGuardBrain,[],"Save every Indie Mind container room , can hacker und check science skill ",FALSE,,SodtyxGuardBrain
10,,[],,[],Nam,[],,False,Gray,Nam
11,,[],,[],Rica,[],,False,Gray,Rica
12,,[],,[],Diablo,[],,False,Gray,Diablo
13,,[],,[],TrainTerminal,[],Link To KenQuo SoulView Layer,FALSE,,TrainTerminal
14,,[],,[],SodtyxTrain,[],,FALSE,,SodtyxTrain
15,,[],,[],Testing,[],,FALSE,,Testing
16,,[],,[],JailsTerminal,[],,FALSE,Gray,JailsTerminal
17,,[],,[],Shrine,[],,FALSE,Gray,Shrine
18,,[],,[],SVT,[],,FALSE,Gray,SVT
19,,[],,[],TUR,[],,FALSE,Gray,TUR
Items
ID,Name,Pictures,Description,Is Item,Success Description,Failure Description,State,Display Name,Trackable,Track,XP Reward,Scrap Reward,Item Reward Amount,Item Reward,Entry Count,Entry 1,Entry 1 State,Entry 1 Display Name,Entry 1 Active,Entry 1 Success,Entry 1 CurrentAmount,Entry 1 GoalAmount,Entry 2,Entry 2 State,Entry 2 Display Name,Entry 2 Active,Entry 2 Success,Entry 2 CurrentAmount,Entry 2 GoalAmount,Entry 3,Entry 3 State,Entry 3 Display Name,Entry 3 Active,Entry 3 Success,Entry 3 CurrentAmount,Entry 3 Goal Amount,Locations,Entry 1 Target,Abandonable,Group,QuestMan,Name en,Description en
Number,Text,Files,Text,Boolean,Text,Text,Text,Text,Boolean,Boolean,Number,Number,Number,Text,Number,Text,Text,Text,Text,Text,Number,Number,Text,Text,Text,Text,Text,Number,Number,Text,Text,Text,Text,Text,Number,Number,Text,Actor,Boolean,Text,Actor,Localization,Localization
1,解救基诺,[],,FALSE,,,unassigned,,TRUE,TRUE,0,0,0,,1,[var=EnemyHasKilled]/1 has killed,active,,,,0,0,,(None),,,,,,,(None),,,,,,,,FALSE,,,Save Zino,
2,逃离监狱,[],,False,,,unassigned,,False,False,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,False,,,Escape Jails,
3,解救帕文,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Save Paven,
4,丛林历险,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Welcome to the Jungle,
5,强力物品,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,The Powerful Items,
6,塔中怪物,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Tower Monster,
7,解救库左,[],,False,,,unassigned,,False,False,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,False,,,Save KuQuo,
8,侵入肯托公司控制,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,HackTheKenquoControl,
9,收集核心,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,CollectTheCore,
10,列车任务_1,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Train Mission_1,
11,列车任务_2,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Train Mission_2,
12,列车任务_3,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,0,,(None),,,,,,,(None),,,,,,,(None),,,,,,,,FALSE,,,Train Mission_3,
13,清除,[],,FALSE,,,unassigned,,FALSE,FALSE,0,0,0,,1,[var=QuestRoomMonster]/1 clear,active,,,,0,200,,(None),,,,,,,(None),,,,,,,,FALSE,,,Clear,
Locations
ID
Number
Variables
ID,Name,Initial Value,Description,InitialValueType
Number,Text,Text,Text,Text
1,Alert,,,Text
2,EnemyHasKilled,0,,Number
3,ItemCollected,0,,Number
4,HasCollectKey,FALSE,When Player pick up the quest key needs notice und  update the quest state,Boolean
5,Unlock,FALSE,"For terminal who needs hack for lock set,when success reset when got reward",Boolean
6,CheckSkillSuccess,FALSE,Check the perc skill success,Boolean
7,MonsterCounter,0,Counter one of the quest monster reset until complete,Number
8,QuestTerminalHacking,FALSE,Check the state for questing terminal when successfully,Boolean
9,TInput,,,Text
10,ContainsItems,FALSE,,Boolean
Conversations
ID,Title,Pictures,Description,Actor,Conversant,enTitle,enDetails
Number,Text,Files,Text,Actor,Actor,Localization,Localization
1,Zino,[],"The first npc player meet , start the first quest in this game , the first quest for player ist show player the game player und the background .",1,2,,
2,SodtyxTerminal,[],,1,16,,
3,SodtyxGuardBrains,[],"Dead Body that can Hack, when guard die spawn the brain for hacker opreation",1,9,,
4,Paven,[],"Paven jail at the sj-1,who can save him with the the hacker skill  at the termainl , when save paven successfully , player can dialogue with the paven in the outdoor ,that will explore with a new quest .",1,3,,
5,SodtyxTerminal,[],"the terminal as the science skil for player needs win the matches module, the matches for player includes \n1.scores limit\n2.time limt\n3.",1,4,,
6,SodtyxTrain,[],"the runtime sene will set the player at the trains , player game at the trains und stream with rolling train ,when train move to the edge of the map , loading ",1,14,,
7,Nam,[],,1,10,,
8,TrainTerminal,[],,1,2,,
9,Testing,[],,1,15,,
10,KuQuo,[],the last party guy who save at entrance,1,8,,
11,Shrine,[],,1,17,,
12,SVL_-1Layer,[],,1,18,,
13,THDNRules,[],,1,19,,
14,Ludya Terminal,[],,1,4,,
DialogueEntries
entrytag,ConvID,ID,Actor,Conversant,Title,MenuText,DialogueText,IsGroup,FalseConditionAction,ConditionPriority,Conditions,Script,Sequence,Pictures,Description,Parenthetical,Audio Files,Video File,Response Menu Sequence,Portraits Visible,EventGuid,en,Name en,canvasRect
Text,Number,Number,Number,Number,Text,Text,Text,Boolean,Special,Special,Text,Text,Text,Files,Text,Text,Files,Text,Text,Boolean,Text,Localization,Localization,Text
Player_1_0,1,0,1,2,START,,,False,Block,Normal,,,None(),[],,,[],,,FALSE,,,{{omit}},522.6441;13.48869
Zino_1_1,1,1,2,1,,,"我们需要离开这狗地方,从护卫身上找到钥匙把我放出来,我们其他人在不同的地方需要找到尽快找到他们,我们可以争取在下一个发车时间离开",False,Block,Normal,"CurrentQuestState(""Save Zino"")==""unassigned""",,,[],,,[],,,FALSE,,,{{omit}},181.5668;125.5583
Zino_1_2,1,2,2,1,,,u here,False,Block,Normal,"CurrentQuestState(""Save Zino"")==""active""",,,[],,,[],,,FALSE,,,{{omit}},610.7204;153.7898
Player_1_3,1,3,1,2,,钥匙在哪里?,钥匙在哪里?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},47.26392;223.6771
Player_1_4,1,4,1,2,,,其他人在哪里?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},260.2008;219.268
Zino_1_6,1,6,2,1,,,你需要找到监控室的开关并打开.,False,Block,Normal,,"SetQuestState(""Save Zino"",""active"");\n\n","ShowAlert(""U accept the quest :: Save ZIno"");",[],,,[],,,FALSE,,,{{omit}},52.96264;418.1174
Player_1_7,1,7,1,2,,,how to got the new,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},487.1852;389.8675
Zino_1_10,1,10,2,1,,,当护卫死亡后便可侵入获得有关监狱的信息,False,Block,Normal,,"SetQuestState(""Hack The Core Terminal"",""active"");",,[],,,[],,,FALSE,,,{{omit}},491.4115;566.1427
Zino_1_11,1,11,2,1,,,"good job bro, now we need leave here , found the way und leave here",False,Block,Normal,"Variable[""EnemyHasKilled""]>=1","SetQuestState(""Save Zino"",success);\nVariable[""EnemyHasKilled""]=0",,[],,,[],,,FALSE,,,{{omit}},634.2558;264.5332
Zino_1_12,1,12,2,1,,,got the key bro!!,False,Block,Normal,"Variable[""EnemyHasKilled""]<=0",,,[],,,[],,,FALSE,,,{{omit}},949.161;234.3304
Player_1_13,1,13,1,2,,,we need found the other guy,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},663.8271;379.7509
Player_1_14,1,14,1,2,,,"the gate has open ,we need return to ludya ",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},875.5955;313.3983
Zino_1_15,1,15,2,1,,,"found other guy that we can robber the sodtyx train ,we cab't lost them.",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},905.5134;424.1847
Player_1_17,1,17,1,2,,,如何侵入?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},309.365;425.3841
Zino_1_18,1,18,2,1,,,"侵入影响你的""科学""技能，通过灵视层去发送请求报文去欺骗对方的灵视层以获取对方内容信息片.",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},223.0039;533.4463
Player_1_19,1,19,1,2,,,,False,Block,Normal,,"SetQuestState(""Save Zino"",""active"");",,[],,,[],,,FALSE,,,,381.2301;684.2395
Zino_1_20,1,20,2,1,At Trains Discuss How's robber the trains,,go to controller room und take control,False,Block,Normal,"CurrentQuestState(""Save ZiNo"")==""success""",,,[],,,[],,,FALSE,,,{{omit}},777.2781;69.161
Zino_1_21,1,21,2,1,Save Zino Part,,,True,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},377.2363;85.92877
Player_1_22,1,22,1,2,,,the train struct,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},1021.342;62.34867
Zino_1_23,1,23,2,1,New Dialogue Entry,,,False,Block,Normal,,,,[],the line about zino around how's start the trains core to avoid the sodtyx  army protect the trains .\n1. around the dialogue will discuss the trains info \n,,[],,,FALSE,,,{{omit}},1261.236;21.72056
Player_1_24,1,24,1,2,,,where the train arrived?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},1000.068;139.5294
Zino_1_25,1,25,2,1,,,"the train will arrive at kenquo, storge  lots of the  kono  for kenquo ,we can rubber it und t road to side line belongs ludya in a cave .",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},1107.773;188.3587
Zino_1_26,1,26,2,1,,,"the train have 3 layer, inside ,top und bottom ,\n",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},1268.36;94.78811
Player_1_27,1,27,1,2,,,how's take control?,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},1177.319;254.4005
Player_1_28,1,28,1,2,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},1325.524;188.0185
Zino_1_29,1,29,2,1,,,"u need open the freight gate at trai part  4, the others guy lock that place. when u arrive there, talk to them",False,Block,Normal,,"SetQuestState(""Train Mission_1"",""active"");",,[],,,[],,,FALSE,,,{{omit}},1280.019;314.3145
Zino_1_32,1,32,2,1,Tips,,,False,Block,Normal,,,,[],the first dialogue for player includes\n1.accept quest\n2.first talking\n3.try got lua function\n4.lua function==> Got reward,,[],,,FALSE,,,{{omit}},30.07687;9.879311
Zino_1_33,1,33,2,1,,,"Paven and KuQuo r in others layer ,we needs found them",False,Block,Normal,,"SetQuestState(""Escape Jails"",""active"");\n",,[],,,[],,,,,,{{omit}},728.9244;498.5821
Zino_1_34,1,34,2,1,,,你需要侵入护卫的灵视层去获取信息,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},307.6254;325.2072
Player_2_0,2,0,1,16,START,,,False,Block,Normal,,,None(),[],,,[],,,,,,{{omit}},356;59
JailsTerminal_2_1,2,1,16,1,,,SoulView System,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},424;147
Player_2_2,2,2,1,16,,,Hack,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},311;334
Player_2_3,2,3,1,16,,,Exit,False,Block,Normal,,,,[],,,[],,,,,,{{omit}},546;293
JailsTerminal_2_4,2,4,16,1,New Dialogue Entry,,,False,Block,Normal,,MatchesModule();,,[],,,[],,,,,,{{omit}},329;457
Player_3_0,3,0,1,9,START,,,False,Block,Normal,,,None(),[],,,[],,,,,,{{omit}},416;38
SodtyxGuardBrain_3_1,3,1,9,1,,,"Dead Brain show up under the guard, seem can hack the message from the brain",False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},405;100
Player_3_2,3,2,1,9,,,Hack,False,Block,Normal,,MatchModule();,,[],,,[],,,FALSE,,,{{omit}},317;179
Player_3_3,3,3,1,9,,,Leave,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},524;189
SodtyxGuardBrain_3_4,3,4,9,1,New Dialogue Entry,,,False,Block,Normal,,,,[],,,[],,,FALSE,,,{{omit}},282;245
Player_4_0,4,0,1,3,START,,,False,Block,Normal,,,None(),[],,,[],,,,,,{{omit}},383.2385;1
Paven_4_1,4,1,3,1,New Dialogue Entry,,,True,Block,Normal,,,,[],Jails Part,,[],,,FALSE,,,{{omit}},295.1739;64.47299
